amfi_code,alpha,beta
119551,0.87,0.89
119552,1.78,0.87
119598,1.23,0.89
119599,1.13,1.04
119120,1.6,0.22
100016,0.78,0.97
125497,1.13,0.97
100033,0.95,0.91
125498,0.9,1.04
100025,1.98,0.44
120503,0.66,0.96
120504,0.88,1.03
120505,0.89,1.0
120506,0.55,0.92
120507,1.85,0.26
118632,0.86,0.88
118633,1.7,1.02
118634,0.8,1.03
118635,1.8,1.04
118636,0.89,0.37
120841,1.27,0.93
120842,1.91,1.0
120843,1.85,0.95
120844,1.52,0.47
119092,1.41,0.91
119093,1.43,0.87
119094,1.42,1.0
119095,0.51,1.0
101206,1.34,1.03
101207,1.84,0.97
101208,1.18,0.43
102885,0.93,0.9
102886,1.12,0.92
102887,1.79,1.0
148567,1.62,0.96
148568,1.7,0.99
148569,0.54,0.98
149322,1.82,0.91
149323,1.02,0.98
149324,0.69,0.98
