investor_id,sip_transaction_count,avg_gap_days,max_gap_days,status
INV000004,6,85.4,265.0,at-risk
INV000008,6,70.4,165.0,at-risk
INV000010,6,64.8,139.0,at-risk
INV000011,7,40.166666666666664,125.0,at-risk
INV000012,8,57.0,132.0,at-risk
INV000013,7,55.333333333333336,104.0,at-risk
INV000014,7,75.33333333333333,128.0,at-risk
INV000023,8,58.57142857142857,115.0,at-risk
INV000028,6,93.6,238.0,at-risk
INV000029,7,60.666666666666664,96.0,at-risk
INV000030,9,47.625,100.0,at-risk
INV000033,8,45.57142857142857,87.0,at-risk
INV000039,6,68.6,129.0,at-risk
INV000045,6,70.6,109.0,at-risk
INV000048,9,46.0,168.0,at-risk
INV000052,6,36.2,120.0,at-risk
INV000056,6,74.8,161.0,at-risk
INV000057,8,49.714285714285715,149.0,at-risk
INV000069,10,49.111111111111114,129.0,at-risk
INV000072,6,83.0,247.0,at-risk
INV000073,9,48.25,112.0,at-risk
INV000074,8,72.57142857142857,191.0,at-risk
INV000075,6,74.8,102.0,at-risk
INV000076,6,91.8,203.0,at-risk
INV000079,6,65.8,90.0,at-risk
INV000081,7,81.33333333333333,167.0,at-risk
INV000082,7,83.66666666666667,351.0,at-risk
INV000086,10,44.666666666666664,167.0,at-risk
INV000087,6,92.8,202.0,at-risk
INV000091,8,44.0,105.0,at-risk
INV000093,7,55.5,91.0,at-risk
INV000094,6,44.8,95.0,at-risk
INV000095,6,69.4,155.0,at-risk
INV000097,7,54.5,183.0,at-risk
INV000101,8,65.0,197.0,at-risk
INV000102,8,65.28571428571429,109.0,at-risk
INV000103,6,83.4,232.0,at-risk
INV000105,8,57.0,87.0,at-risk
INV000109,9,46.25,63.0,at-risk
INV000113,8,46.0,144.0,at-risk
INV000123,7,59.666666666666664,142.0,at-risk
INV000128,6,82.0,181.0,at-risk
INV000131,7,56.0,123.0,at-risk
INV000132,6,71.0,139.0,at-risk
INV000133,6,88.2,265.0,at-risk
INV000138,6,76.2,220.0,at-risk
INV000145,6,89.4,282.0,at-risk
INV000146,6,66.8,171.0,at-risk
INV000148,9,52.0,168.0,at-risk
INV000155,7,37.333333333333336,99.0,at-risk
INV000161,7,73.0,213.0,at-risk
INV000163,8,61.0,80.0,at-risk
INV000164,6,61.8,208.0,at-risk
INV000169,7,67.83333333333333,145.0,at-risk
INV000173,7,57.666666666666664,165.0,at-risk
INV000175,7,83.66666666666667,170.0,at-risk
INV000177,8,65.42857142857143,278.0,at-risk
INV000180,6,61.8,229.0,at-risk
INV000183,9,56.125,216.0,at-risk
INV000191,7,56.5,161.0,at-risk
INV000194,7,58.0,109.0,at-risk
INV000195,6,77.4,114.0,at-risk
INV000196,7,69.0,176.0,at-risk
INV000201,9,51.125,100.0,at-risk
INV000205,8,62.57142857142857,193.0,at-risk
INV000210,8,70.71428571428571,163.0,at-risk
INV000214,6,94.8,306.0,at-risk
INV000217,6,92.0,183.0,at-risk
INV000228,9,59.75,188.0,at-risk
INV000236,8,67.14285714285714,112.0,at-risk
INV000238,6,93.6,287.0,at-risk
INV000239,8,48.857142857142854,105.0,at-risk
INV000243,6,88.2,137.0,at-risk
INV000245,6,92.2,164.0,at-risk
INV000249,7,45.5,162.0,at-risk
INV000252,6,50.4,96.0,at-risk
INV000255,6,48.6,103.0,at-risk
INV000256,6,70.2,155.0,at-risk
INV000259,6,70.6,165.0,at-risk
INV000260,8,59.57142857142857,206.0,at-risk
INV000262,8,53.57142857142857,122.0,at-risk
INV000263,8,68.42857142857143,271.0,at-risk
INV000265,10,53.44444444444444,140.0,at-risk
INV000268,7,62.333333333333336,143.0,at-risk
INV000279,9,43.375,133.0,at-risk
INV000280,9,55.75,191.0,at-risk
INV000283,6,68.0,195.0,at-risk
INV000287,7,69.83333333333333,301.0,at-risk
INV000289,8,62.714285714285715,142.0,at-risk
INV000291,6,89.0,196.0,at-risk
INV000292,7,46.0,95.0,at-risk
INV000293,7,47.0,91.0,at-risk
INV000297,6,90.6,163.0,at-risk
INV000299,6,85.2,240.0,at-risk
INV000304,7,70.0,204.0,at-risk
INV000309,8,52.0,157.0,at-risk
INV000310,7,75.83333333333333,164.0,at-risk
INV000318,6,97.4,175.0,at-risk
INV000319,7,73.5,201.0,at-risk
INV000321,7,72.83333333333333,204.0,at-risk
INV000328,9,37.5,73.0,at-risk
INV000331,8,50.714285714285715,163.0,at-risk
INV000334,7,25.5,60.0,regular
INV000335,6,96.0,279.0,at-risk
INV000339,6,94.0,195.0,at-risk
INV000341,8,54.42857142857143,191.0,at-risk
INV000356,6,54.4,157.0,at-risk
INV000359,9,54.125,197.0,at-risk
INV000363,7,77.0,153.0,at-risk
INV000369,6,43.8,112.0,at-risk
INV000371,8,59.285714285714285,147.0,at-risk
INV000372,7,54.5,121.0,at-risk
INV000380,6,97.0,272.0,at-risk
INV000388,9,53.625,119.0,at-risk
INV000392,7,77.16666666666667,205.0,at-risk
INV000395,7,55.666666666666664,119.0,at-risk
INV000396,6,83.2,153.0,at-risk
INV000399,10,49.55555555555556,68.0,at-risk
INV000400,6,62.6,101.0,at-risk
INV000403,6,58.2,90.0,at-risk
INV000407,6,82.4,157.0,at-risk
INV000408,6,46.8,125.0,at-risk
INV000412,8,43.714285714285715,70.0,at-risk
INV000414,8,66.28571428571429,233.0,at-risk
INV000415,7,66.16666666666667,128.0,at-risk
INV000418,6,86.8,238.0,at-risk
INV000427,7,68.5,116.0,at-risk
INV000428,8,52.142857142857146,164.0,at-risk
INV000429,6,77.2,187.0,at-risk
INV000437,6,97.8,295.0,at-risk
INV000440,8,69.57142857142857,162.0,at-risk
INV000441,6,60.8,151.0,at-risk
INV000444,6,73.2,129.0,at-risk
INV000445,9,57.75,129.0,at-risk
INV000446,6,38.6,101.0,at-risk
INV000449,6,46.8,70.0,at-risk
INV000452,9,49.375,123.0,at-risk
INV000457,6,91.4,256.0,at-risk
INV000460,6,43.4,107.0,at-risk
INV000463,7,65.16666666666667,181.0,at-risk
INV000466,7,73.33333333333333,135.0,at-risk
INV000467,10,56.666666666666664,272.0,at-risk
INV000469,7,70.5,183.0,at-risk
INV000483,8,70.42857142857143,252.0,at-risk
INV000491,6,95.0,202.0,at-risk
INV000493,10,47.55555555555556,201.0,at-risk
INV000497,7,71.83333333333333,191.0,at-risk
INV000499,7,77.83333333333333,157.0,at-risk
INV000507,7,70.16666666666667,249.0,at-risk
INV000512,9,54.75,112.0,at-risk
INV000522,6,100.8,309.0,at-risk
INV000524,7,55.0,91.0,at-risk
INV000527,6,50.8,116.0,at-risk
INV000529,6,59.2,110.0,at-risk
INV000531,7,47.0,82.0,at-risk
INV000539,7,77.0,153.0,at-risk
INV000540,7,73.5,123.0,at-risk
INV000543,7,83.66666666666667,218.0,at-risk
INV000545,6,80.6,181.0,at-risk
INV000546,9,55.0,154.0,at-risk
INV000547,6,55.8,140.0,at-risk
