amfi_code,scheme_name,fund_house,return_3yr_pct,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown_pct,fund_score
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,23.14,0.93,1.13,0.72,-24.78,72.75
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,15.65,0.98,1.85,1.45,-19.5,71.5
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,18.23,0.96,1.91,1.56,-21.92,70.5
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,22.38,0.9,1.84,1.53,-23.61,68.25
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,23.39,0.94,1.23,1.43,-13.35,64.375
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,14.81,1.06,1.62,1.46,-17.07,63.9375
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,7.37,1.84,1.98,0.56,-6.01,63.0
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.68,7.68,1.85,0.74,-2.62,61.75
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,18.08,0.95,0.89,1.36,-21.84,61.0
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,14.41,1.03,0.88,0.8,-26.59,59.625
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,14.56,0.91,1.7,1.52,-33.15,58.5
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,13.38,0.96,1.13,0.92,-33.5,58.375
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.18,6.18,1.52,0.6,-3.81,56.375
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,15.34,0.96,1.79,1.64,-12.14,56.0625
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,11.77,0.91,1.8,0.89,-26.75,54.0625
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,12.33,0.88,1.7,0.72,-18.14,52.875
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,15.18,0.8,1.42,1.38,-32.38,52.0625
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,17.16,0.9,1.02,1.61,-26.99,51.9375
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,12.82,0.92,1.82,1.54,-21.7,51.3125
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,6.07,1.52,1.6,0.77,-2.3,51.25
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,14.76,0.98,0.55,1.41,-21.89,51.125
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,14.84,1.06,0.78,1.55,-17.41,50.3125
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,16.58,0.87,0.95,1.38,-13.67,49.75
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,15.29,0.8,0.9,0.78,-32.22,49.1875
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,13.78,0.98,1.34,1.6,-15.07,48.5625
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,14.0,1.0,0.86,1.51,-16.07,47.8125
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,20.15,0.81,0.8,1.53,-30.87,47.625
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,5.14,5.14,1.18,0.79,-3.66,46.75
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,12.14,0.87,1.43,0.75,-17.4,45.875
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,11.3,0.81,1.78,0.66,-24.43,45.8125
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,20.98,0.84,0.51,1.38,-14.45,45.625
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,5.31,1.33,0.89,0.55,-2.23,44.375
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,15.61,0.82,1.12,1.51,-13.43,43.375
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,20.08,0.8,0.69,1.52,-17.01,39.25
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,12.1,0.93,0.93,1.57,-24.42,38.3125
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,11.84,0.85,1.41,1.64,-27.54,35.0625
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,12.25,0.87,1.27,1.59,-17.86,35.0
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,12.36,0.88,0.87,1.54,-21.7,34.125
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,11.54,0.82,0.66,1.42,-25.91,28.3125
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,13.58,0.8,0.54,1.6,-22.62,24.25
