amfi_code,drawdown_start_date,worst_drawdown_date,maximum_drawdown,maximum_drawdown_pct
119599,2023-01-17,2025-10-28,-0.5257422117012851,-52.57422117012851
119095,2025-05-22,2026-05-11,-0.5167775370852656,-51.677753708526566
101207,2024-11-21,2026-05-11,-0.3544691649336603,-35.44691649336603
149324,2024-05-03,2025-01-03,-0.31171900300634214,-31.171900300634213
119598,2024-08-28,2025-05-14,-0.2870600572176455,-28.706005721764548
102886,2025-01-07,2026-04-27,-0.2800112356639287,-28.00112356639287
100016,2022-03-30,2022-09-15,-0.24734440880673303,-24.734440880673304
120842,2023-11-09,2024-10-17,-0.24003511326274884,-24.003511326274886
118634,2025-04-09,2026-02-20,-0.2334488614483311,-23.34488614483311
119093,2022-02-24,2023-05-22,-0.21751396370148224,-21.751396370148225
102887,2022-01-03,2022-07-04,-0.21539827112383225,-21.539827112383225
125498,2025-04-04,2025-09-12,-0.21117279560132118,-21.11727956013212
119094,2022-04-14,2022-08-11,-0.20960883862039192,-20.960883862039193
120506,2023-03-31,2023-08-14,-0.1982565826298267,-19.82565826298267
118633,2023-10-30,2024-02-29,-0.18629743138595511,-18.62974313859551
120505,2024-10-24,2025-01-23,-0.18188513572116294,-18.188513572116292
120841,2024-01-09,2025-02-14,-0.1757361416468729,-17.57361416468729
118632,2024-01-02,2024-07-19,-0.17414075086657232,-17.41407508665723
149323,2022-06-06,2022-10-24,-0.17248105753451382,-17.24810575345138
148569,2023-08-10,2023-10-20,-0.1639674294693263,-16.39674294693263
100033,2022-03-11,2022-05-12,-0.16217208574644848,-16.217208574644847
148568,2023-09-05,2024-01-24,-0.1527259422823477,-15.27259422823477
125497,2023-12-22,2025-01-01,-0.15200013055606398,-15.200013055606398
119551,2023-08-24,2024-02-05,-0.1501238549864533,-15.012385498645331
149322,2022-01-03,2022-02-04,-0.14844576917771746,-14.844576917771747
119092,2023-10-12,2025-02-07,-0.1440161790933726,-14.401617909337261
120503,2023-09-19,2023-11-09,-0.13897862823061635,-13.897862823061635
120843,2022-03-07,2022-04-13,-0.1297396816518679,-12.97396816518679
120504,2022-10-04,2023-05-30,-0.12588275606922517,-12.588275606922517
119552,2024-05-21,2024-09-02,-0.11803493502764295,-11.803493502764296
118635,2022-01-03,2022-06-09,-0.1165062450540909,-11.650624505409091
101206,2023-04-24,2023-07-05,-0.11291596329323073,-11.291596329323072
148567,2023-07-11,2023-10-20,-0.11265729075028275,-11.265729075028275
102885,2022-02-03,2022-03-29,-0.1085986215250232,-10.85986215250232
118636,2023-02-09,2024-02-09,-0.08316361763638702,-8.316361763638703
119120,2024-09-16,2025-04-01,-0.04328728923970093,-4.328728923970093
100025,2023-05-23,2023-07-28,-0.04308263824636349,-4.308263824636349
101208,2023-09-05,2023-09-12,-0.0016224980244717857,-0.16224980244717857
120844,2024-04-12,2024-04-30,-0.0011629327956168556,-0.11629327956168556
120507,2025-10-16,2025-10-20,-0.0009773140045925555,-0.09773140045925555
